Resident place,Number of stars,Review score,Experience rating,Experience vécue,Place near the hotel,Chambre,Caractéristique,Durée de séjour et personne,Prix
Hôtel Esté,4 étoile(s),Une nouvelle fenêtre va s'ouvrir,Superbe,1 058 expériences vécues,"10e arr., Paris",Chambre Simple,"10e arr., ParisIndiquer sur la carte2,2 km du centreProche du métro","2 semaines, 1 adulte",US$3 131
Atelier dernier étage bail mobilité Louvre,5 étoile(s),Une nouvelle fenêtre va s'ouvrir,Fabuleux,93 expériences vécues,"2e arr., Paris",Appartement Supérieur,"2e arr., ParisIndiquer sur la carte1,2 km du centreProche du métro","2 semaines, 1 adulte",US$3 745
Pavillon Nation,3 étoile(s),Une nouvelle fenêtre va s'ouvrir,Très bien,35 expériences vécues,"11e arr., Paris",Chambre Classique,"11e arr., ParisIndiquer sur la carte3,6 km du centreProche du métro","2 semaines, 1 adulte",US$1 994
Absolute Hotel Paris République,Non disponible,Une nouvelle fenêtre va s'ouvrir,Bien,3 702 expériences vécues,"11e arr., Paris",Chambre Simple,"11e arr., ParisIndiquer sur la carte1,8 km du centreProche du métro","2 semaines, 1 adulte",US$1 654
Hôtel Hor Les Lumières,3 étoile(s),Une nouvelle fenêtre va s'ouvrir,Très bien,3 038 expériences vécues,"11e arr., Paris",Chambre Lits Jumeaux,"11e arr., ParisIndiquer sur la carte1,9 km du centreProche du métro","2 semaines, 1 adulte",US$2 177
Le Regent Montmartre by Hiphophostels,Non disponible,Une nouvelle fenêtre va s'ouvrir,Bien,6 685 expériences vécues,"9e arr., Paris",Lit dans Dortoir pour Femmes de 4 Lits,"9e arr., ParisIndiquer sur la carte2,9 km du centreProche du métro","2 semaines, 1 adulte",US$1 012
All Suites Appart & Hotel Paris 13 Porte d'Italie,4 étoile(s),Une nouvelle fenêtre va s'ouvrir,Très bien,8 expériences vécues,"13e arr., Paris",Studio Double Standard,"13e arr., ParisIndiquer sur la carte4,5 km du centreProche du métro","2 semaines, 1 adulte",US$1 486
Color Design Hotel,3 étoile(s),Une nouvelle fenêtre va s'ouvrir,Bien,1 395 expériences vécues,"12e arr., Paris",Chambre Double Standard,"12e arr., ParisIndiquer sur la carte2,3 km du centreProche du métro","2 semaines, 1 adulte",US$1 760
Hôtel des Deux Avenues,3 étoile(s),Une nouvelle fenêtre va s'ouvrir,Superbe,27 expériences vécues,"17e arr., Paris",Chambre Double,"17e arr., ParisIndiquer sur la carte4,6 km du centreProche du métro","2 semaines, 1 adulte",US$2 297
Hotel Viator - Gare de Lyon,3 étoile(s),Une nouvelle fenêtre va s'ouvrir,Très bien,2 599 expériences vécues,"12e arr., Paris",Chambre Double Standard,"12e arr., ParisIndiquer sur la carte1,9 km du centreProche du métro","2 semaines, 1 adulte",US$1 860
Generator Paris,Non disponible,Une nouvelle fenêtre va s'ouvrir,Bien,11 542 expériences vécues,"10e arr., Paris",Lit dans Dortoir Mixte de 8 Lits,"10e arr., ParisIndiquer sur la carte2,7 km du centreProche du métro","2 semaines, 1 adulte",US$721
Hotel Anya,Non disponible,Une nouvelle fenêtre va s'ouvrir,Bien,1 553 expériences vécues,"11e arr., Paris",Chambre Double,"11e arr., ParisIndiquer sur la carte2,2 km du centreProche du métro","2 semaines, 1 adulte",US$1 840
Villa Royale Montsouris,3 étoile(s),Une nouvelle fenêtre va s'ouvrir,Bien,563 expériences vécues,"14e arr., Paris",Chambre Double Classique,"14e arr., ParisIndiquer sur la carte4 km du centreProche du métro","2 semaines, 1 adulte",US$1 651
Hôtel du Quai de Seine,2 étoile(s),Une nouvelle fenêtre va s'ouvrir,Bien,2 661 expériences vécues,"19e arr., Paris",Chambre Double,"19e arr., ParisIndiquer sur la carte3,8 km du centreProche du métro","2 semaines, 1 adulte",US$1 753
Hôtel LUX PICPUS,3 étoile(s),Une nouvelle fenêtre va s'ouvrir,Très bien,1 425 expériences vécues,"12e arr., Paris",Chambre Double Standard,"12e arr., ParisIndiquer sur la carte3,9 km du centreProche du métro","2 semaines, 1 adulte",US$1 833
City Inn Paris,Non disponible,Une nouvelle fenêtre va s'ouvrir,Note,2 865 expériences vécues,"19e arr., Paris",Lit dans Dortoir Mixte de 5 Lits,"19e arr., ParisIndiquer sur la carte4,2 km du centreProche du métro","2 semaines, 1 adulte",US$771
Hotel Paris Bercy,1 étoile(s),Une nouvelle fenêtre va s'ouvrir,Note,1 588 expériences vécues,"12e arr., Paris",Chambre Double,"12e arr., ParisIndiquer sur la carte3,8 km du centreProche du métro","2 semaines, 1 adulte",US$1 556
Hipotel Paris Gambetta République,2 étoile(s),Une nouvelle fenêtre va s'ouvrir,Note,1 936 expériences vécues,"20e arr., Paris",Chambre Double,"20e arr., ParisIndiquer sur la carte3,5 km du centreProche du métro","2 semaines, 1 adulte",US$1 176
Hôtel de l'Aveyron,1 étoile(s),Une nouvelle fenêtre va s'ouvrir,Note,2 551 expériences vécues,"12e arr., Paris",Chambre Double,"12e arr., ParisIndiquer sur la carte1,8 km du centreProche du métro","2 semaines, 1 adulte",US$1 472
Peace & Love Hostel,Non disponible,Une nouvelle fenêtre va s'ouvrir,Note,3 151 expériences vécues,"10e arr., Paris",Lit Simple dans Dortoir Mixte,"10e arr., ParisIndiquer sur la carte3,2 km du centreProche du métro","2 semaines, 1 adulte",US$715
Charming Studio - Palais de Congres,Non disponible,Une nouvelle fenêtre va s'ouvrir,Note,2 expériences vécues,"17e arr., Paris",Studio,"17e arr., ParisIndiquer sur la carte5,7 km du centre","2 semaines, 1 adulte",US$1 194
Hôtel de l'Europe,Non disponible,Une nouvelle fenêtre va s'ouvrir,Note,655 expériences vécues,"17e arr., Paris",Chambre Double,"17e arr., ParisIndiquer sur la carte4,4 km du centreProche du métro","2 semaines, 1 adulte",US$1 868
Hotel Celtic,Non disponible,Une nouvelle fenêtre va s'ouvrir,Note,2 843 expériences vécues,"14e arr., Paris",Chambre Simple,"14e arr., ParisIndiquer sur la carte2,5 km du centreProche du métro","2 semaines, 1 adulte",US$1 621
Le Coffice Auberge de Jeunesse,Non disponible,Une nouvelle fenêtre va s'ouvrir,Note,2 883 expériences vécues,"13e arr., Paris",Lit Superposé dans Dortoir Mixte avec Salle de Bains Commune,"13e arr., ParisIndiquer sur la carte3,7 km du centreProche du métro","2 semaines, 1 adulte",US$1 029
Résidence Beaugrenelle - Tour Eiffel 2,3 étoile(s),Une nouvelle fenêtre va s'ouvrir,Bien,110 expériences vécues,"15e arr., Paris",Chambre Double,"15e arr., ParisIndiquer sur la carte5,1 km du centreProche du métro","2 semaines, 1 adulte",US$1 457
