Resident place,Number of stars,Review score,Experience rating,Experience vécue,Place near the hotel,Chambre,Déjeuner,Annulation,Extension,Caractéristique,Durée de séjour et personne,Prix
Imhotep pyramids INN,4 étoile(s),"Avec une note de 9,49,4",Fabuleux,24 expériences vécues,"Giza, Le Caire",Chambre Simple,Petit-déjeuner compris,Non disponible,Offre à Durée Limitée,"Giza, Le CaireIndiquer sur la carte","1 semaine, 1 adulte",US$67
Juliana Beach Hurghada,Non disponible,"Avec une note de 9,59,5",Exceptionnel,39 expériences vécues,"Al Ahyaa, Hurghada",Chambre Familiale Supérieure,Petit-déjeuner compris,Non disponible,Non disponible,"Al Ahyaa, HurghadaIndiquer sur la carte","1 semaine, 1 adulte",US$321
Swiss Wellness Dive Resort,Non disponible,"Avec une note de 8,58,5",Très bien,398 expériences vécues,Hurghada,Chambre Double - Vue sur Mer,Tout compris,Non disponible,Non disponible,HurghadaIndiquer sur la carte,"1 semaine, 1 adulte",US$264
BIRD NEST Lotus Residence,4 étoile(s),"Avec une note de 9,29,2",Fabuleux,74 expériences vécues,"Nouveau Caire, Le Caire",Studio,Non disponible,Non disponible,Non disponible,"Nouveau Caire, Le CaireIndiquer sur la carte","1 semaine, 1 adulte",US$557
Tzila Lodge,3 étoile(s),"Avec une note de 8,38,3",Très bien,242 expériences vécues,Fayoum,Suite avec Terrasse,Non disponible,Non disponible,Offre Saisonnière,FayoumIndiquer sur la carte,"1 semaine, 1 adulte",US$524
Endo Mando,3 étoile(s),"Avec une note de 8,68,6",Superbe,25 expériences vécues,Ash Shallāl,Chambre Double – Vue sur Lac,Petit-déjeuner compris,Non disponible,Non disponible,Ash ShallālIndiquer sur la carte,"1 semaine, 1 adulte",US$176
NaInshal Siwa,Non disponible,"Avec une note de 9,09,0",Fabuleux,249 expériences vécues,Siwa,Chambre Simple,Petit-déjeuner compris,Non disponible,Non disponible,SiwaIndiquer sur la carte,"1 semaine, 1 adulte",US$82
Wadi Lahmy Azur Resort - Soft All-Inclusive,3 étoile(s),"Avec une note de 8,88,8",Superbe,606 expériences vécues,Abū Ghuşūn,Chambre Double ou Lits Jumeaux Standard - Vue sur Jardin,Tout compris,Non disponible,Non disponible,Abū GhuşūnIndiquer sur la carte,"1 semaine, 1 adulte",US$308
Hllol Hotel Abu Simbel,3 étoile(s),"Avec une note de 8,48,4",Très bien,373 expériences vécues,Abou Simbel,Chambre Triple Supérieure,Petit-déjeuner compris,Non disponible,Offre Saisonnière,Abou SimbelIndiquer sur la carte,"1 semaine, 1 adulte",US$302
Susanna Hotel Luxor,3 étoile(s),"Avec une note de 8,08,0",Très bien,3 795 expériences vécues,"East bank, Louxor",Chambre Standard,Non disponible,Non disponible,Non disponible,"East bank, LouxorIndiquer sur la carte","1 semaine, 1 adulte",US$147
Jolie Ville Hotel & Spa Kings Island Luxor,5 étoile(s),"Avec une note de 8,88,8",Superbe,3 112 expériences vécues,"East bank, Louxor",Chambre Double ou Lits Jumeaux Standard - Vue sur Jardin,Petit-déjeuner compris,Non disponible,Non disponible,"East bank, LouxorIndiquer sur la carte","1 semaine, 1 adulte",US$271
Seti Abu Simbel Lake Resort,4 étoile(s),"Avec une note de 8,18,1",Très bien,200 expériences vécues,Abou Simbel,Chambre Simple,Petit-déjeuner compris,Non disponible,Non disponible,Abou SimbelIndiquer sur la carte,"1 semaine, 1 adulte",US$1 195
Steigenberger Resort Alaya Marsa Alam - Red Sea - Adults Friendly 16 Years Plus,5 étoile(s),"Avec une note de 9,59,5",Exceptionnel,835 expériences vécues,Coraya Bay,Hébergment Lit Queen-Size ou Lits Jumeaux Supérieur - Vue sur Piscine,Tout compris,Non disponible,Non disponible,Coraya BayIndiquer sur la carte,"1 semaine, 1 adulte",US$1 155
Madinaty,Non disponible,"Avec une note de 8,58,5",Très bien,10 expériences vécues,Madinaty,Appartement 2 Chambres,Non disponible,Non disponible,Non disponible,MadinatyIndiquer sur la carte,"1 semaine, 1 adulte",US$417
Villa 14 Suites,3 étoile(s),"Avec une note de 8,18,1",Très bien,643 expériences vécues,Ville du 6 Octobre,Suite Lit Queen-Size Deluxe,Non disponible,Non disponible,Offre Saisonnière,Ville du 6 OctobreIndiquer sur la carte,"1 semaine, 1 adulte",US$289
The Mango Guest House,3 étoile(s),"Avec une note de 9,19,1",Fabuleux,1 476 expériences vécues,Assouan,Chambre Double avec Salle de Bains Privative,Non disponible,Non disponible,Non disponible,AssouanIndiquer sur la carte,"1 semaine, 1 adulte",US$195
Lamar Azur Hotel,4 étoile(s),"Avec une note de 8,68,6",Superbe,712 expériences vécues,Dumyāţ al Jadīdah,Chambre Double Standard,Petit-déjeuner compris,Non disponible,Non disponible,Dumyāţ al JadīdahIndiquer sur la carte,"1 semaine, 1 adulte",US$312
Gemma Resort,5 étoile(s),"Avec une note de 9,59,5",Exceptionnel,502 expériences vécues,Marsa Alam,Chambre Supérieure - Vue sur Jardin,Tout compris,Non disponible,Non disponible,Marsa AlamIndiquer sur la carte,"1 semaine, 1 adulte",US$407
Shams Alam Beach Resort,4 étoile(s),"Avec une note de 8,38,3",Très bien,316 expériences vécues,Abū Ghuşūn,Chambre Standard,Tout compris,Non disponible,Non disponible,Abū GhuşūnIndiquer sur la carte,"1 semaine, 1 adulte",US$391
فندق أجياد Agyad Hotel,Non disponible,"Avec une note de 8,78,7",Superbe,49 expériences vécues,Assiout,Chambre Simple avec Salle de Bains Privative,Non disponible,Non disponible,Non disponible,AssioutIndiquer sur la carte,"1 semaine, 1 adulte",US$88
Kulih Nubian House,Non disponible,"Avec une note de 8,48,4",Très bien,63 expériences vécues,Ash Shallāl,Chambre Double ou Lits Jumeaux Économique,Non disponible,Non disponible,Non disponible,Ash ShallālIndiquer sur la carte,"1 semaine, 1 adulte",US$72
Jewel Assiut Hotel,4 étoile(s),"Avec une note de 7,47,4",Bien,155 expériences vécues,Assiout,Chambre Simple Économique,Petit-déjeuner compris,Non disponible,Non disponible,AssioutIndiquer sur la carte,"1 semaine, 1 adulte",US$504
Azal Lagoons Resort Abu Simbel,5 étoile(s),"Avec une note de 8,88,8",Superbe,124 expériences vécues,Abou Simbel,Chambre Double Standard - Vue sur Jardin,Petit-déjeuner compris,Non disponible,Non disponible,Abou SimbelIndiquer sur la carte,"1 semaine, 1 adulte",US$444
Steigenberger Resort Achti,5 étoile(s),"Avec une note de 8,68,6",Superbe,3 876 expériences vécues,Louxor,Hébergement Lit King-Size Supérieur - Vue sur Jardin (Bungalow),Petit-déjeuner compris,Non disponible,Non disponible,LouxorIndiquer sur la carte,"1 semaine, 1 adulte",US$266
Elminya Compound,3 étoile(s),"Avec une note de 7,27,2",Bien,28 expériences vécues,Al-Minya,Chambre Triple Standard,Petit-déjeuner compris,Non disponible,Offre Saisonnière,Al-MinyaIndiquer sur la carte,"1 semaine, 1 adulte",US$378
